== Frequent Itemsets ==
34 (7914)
59 (5176)
63 (4936)
76 (4384)
23 (3376)
93 (3968)
52 (3516)
86 (7924)
85 (8124)
36 (6812)
3 (3656)
67 (4464)
90 (7488)
1 (3916)
39 (5612)
2 (4208)
10 (3244)
53 (4608)
28 (3528)
24 (4748)
110 (4040)
6 (3152)
56 (3776)
116 (3148)
59 93 => 85 23 (conf: 0.83)
59 23 => 85 93 (conf: 0.94)
85 93 => 59 23 (conf: 0.77)
85 23 => 59 93 (conf: 0.90)
93 23 => 85 59 (conf: 0.95)
59 85 93 => 23 (conf: 0.83)
59 85 23 => 93 (conf: 0.94)
59 93 23 => 85 (conf: 1.00)
85 93 23 => 59 (conf: 0.95)
76 => 34 86 90 (conf: 0.89)
34 76 => 86 90 (conf: 0.89)
90 76 => 86 34 (conf: 1.00)
86 76 => 34 90 (conf: 0.89)
34 90 76 => 86 (conf: 1.00)
34 86 76 => 90 (conf: 0.89)
90 86 76 => 34 (conf: 1.00)
93 => 36 85 23 (conf: 0.78)
23 => 36 85 93 (conf: 0.91)
36 93 => 85 23 (conf: 0.89)
36 23 => 85 93 (conf: 0.94)
85 93 => 36 23 (conf: 0.78)
85 23 => 36 93 (conf: 0.91)
93 23 => 36 85 (conf: 0.97)
36 85 93 => 23 (conf: 0.89)
36 85 23 => 93 (conf: 0.94)
36 93 23 => 85 (conf: 1.00)
85 93 23 => 36 (conf: 0.97)
63 => 86 34 23 (conf: 0.62)
23 => 86 34 63 (conf: 0.90)
34 63 => 86 23 (conf: 0.64)
34 23 => 86 63 (conf: 0.90)
63 86 => 34 23 (conf: 0.64)
63 23 => 86 34 (conf: 1.00)
86 23 => 34 63 (conf: 0.90)
34 63 86 => 23 (conf: 0.64)
34 63 23 => 86 (conf: 1.00)
34 86 23 => 63 (conf: 0.90)
63 86 23 => 34 (conf: 1.00)
52 => 34 86 85 (conf: 0.94)
52 34 => 86 85 (conf: 1.00)
52 86 => 34 85 (conf: 0.99)
52 85 => 86 34 (conf: 0.94)
52 34 86 => 85 (conf: 1.00)
52 34 85 => 86 (conf: 1.00)
52 86 85 => 34 (conf: 0.99)
1 => 90 86 34 (conf: 0.97)
90 1 => 86 34 (conf: 1.00)
34 1 => 86 90 (conf: 0.97)
1 86 => 90 34 (conf: 0.97)
90 34 1 => 86 (conf: 1.00)
90 1 86 => 34 (conf: 1.00)
34 1 86 => 90 (conf: 0.98)
59 => 34 86 90 (conf: 0.88)
90 => 86 34 59 (conf: 0.61)
34 59 => 86 90 (conf: 0.91)
34 90 => 86 59 (conf: 0.62)
59 90 => 86 34 (conf: 0.96)
59 86 => 34 90 (conf: 0.91)
90 86 => 34 59 (conf: 0.62)
34 59 90 => 86 (conf: 1.00)
34 59 86 => 90 (conf: 0.91)
34 90 86 => 59 (conf: 0.62)
59 90 86 => 34 (conf: 1.00)
1 => 36 86 85 (conf: 0.97)
1 36 => 86 85 (conf: 1.00)
1 86 => 36 85 (conf: 0.97)
1 85 => 36 86 (conf: 0.97)
1 36 86 => 85 (conf: 1.00)
1 36 85 => 86 (conf: 1.00)
1 86 85 => 36 (conf: 0.97)
59 => 36 90 63 (conf: 0.65)
63 => 36 90 59 (conf: 0.69)
90 59 => 36 63 (conf: 0.71)
90 63 => 36 59 (conf: 0.75)
59 63 => 36 90 (conf: 0.81)
59 36 => 90 63 (conf: 0.76)
63 36 => 90 59 (conf: 0.81)
90 59 63 => 36 (conf: 0.89)
90 59 36 => 63 (conf: 0.82)
90 63 36 => 59 (conf: 0.87)
59 63 36 => 90 (conf: 0.92)
59 => 36 86 34 (conf: 0.82)
36 => 86 34 59 (conf: 0.62)
34 59 => 36 86 (conf: 0.85)
34 36 => 86 59 (conf: 0.64)
59 36 => 86 34 (conf: 0.96)
59 86 => 36 34 (conf: 0.85)
36 86 => 34 59 (conf: 0.64)
34 59 36 => 86 (conf: 1.00)
34 59 86 => 36 (conf: 0.85)
34 36 86 => 59 (conf: 0.64)
59 36 86 => 34 (conf: 1.00)
59 => 85 93 63 (conf: 0.64)
63 => 85 93 59 (conf: 0.67)
93 => 85 59 63 (conf: 0.84)
59 63 => 85 93 (conf: 0.80)
59 85 => 93 63 (conf: 0.64)
59 93 => 85 63 (conf: 0.91)
63 85 => 93 59 (conf: 0.67)
63 93 => 85 59 (conf: 0.96)
85 93 => 59 63 (conf: 0.84)
59 63 85 => 93 (conf: 0.80)
59 63 93 => 85 (conf: 1.00)
59 85 93 => 63 (conf: 0.91)
63 85 93 => 59 (conf: 0.96)
63 => 86 34 93 (conf: 0.66)
93 => 86 34 63 (conf: 0.83)
34 63 => 86 93 (conf: 0.69)
34 93 => 86 63 (conf: 0.87)
63 86 => 34 93 (conf: 0.69)
63 93 => 86 34 (conf: 0.94)
86 93 => 34 63 (conf: 0.87)
34 63 86 => 93 (conf: 0.69)
34 63 93 => 86 (conf: 1.00)
34 86 93 => 63 (conf: 0.87)
63 86 93 => 34 (conf: 1.00)
59 => 34 85 23 (conf: 0.62)
23 => 34 85 59 (conf: 0.96)
34 59 => 85 23 (conf: 0.65)
34 23 => 85 59 (conf: 0.96)
59 85 => 34 23 (conf: 0.62)
59 23 => 34 85 (conf: 1.00)
85 23 => 34 59 (conf: 0.96)
34 59 85 => 23 (conf: 0.65)
34 59 23 => 85 (conf: 1.00)
34 85 23 => 59 (conf: 0.96)
59 85 23 => 34 (conf: 1.00)
3 => 34 90 85 (conf: 0.93)
3 90 => 34 85 (conf: 0.99)
3 34 => 90 85 (conf: 0.95)
3 85 => 34 90 (conf: 0.93)
3 90 34 => 85 (conf: 1.00)
3 90 85 => 34 (conf: 0.99)
3 34 85 => 90 (conf: 0.95)
67 => 86 90 76 (conf: 0.69)
76 => 67 86 90 (conf: 0.70)
67 90 => 86 76 (conf: 0.77)
67 86 => 90 76 (conf: 0.69)
67 76 => 86 90 (conf: 0.88)
90 76 => 67 86 (conf: 0.79)
86 76 => 67 90 (conf: 0.70)
67 90 86 => 76 (conf: 0.77)
67 90 76 => 86 (conf: 1.00)
67 86 76 => 90 (conf: 0.88)
90 86 76 => 67 (conf: 0.79)
59 => 36 85 23 (conf: 0.60)
23 => 36 85 59 (conf: 0.93)
59 36 => 85 23 (conf: 0.71)
59 85 => 36 23 (conf: 0.60)
59 23 => 36 85 (conf: 0.97)
36 23 => 85 59 (conf: 0.96)
85 23 => 36 59 (conf: 0.93)
59 36 85 => 23 (conf: 0.71)
59 36 23 => 85 (conf: 1.00)
59 85 23 => 36 (conf: 0.97)
36 85 23 => 59 (conf: 0.96)
63 => 86 34 76 (conf: 0.62)
76 => 86 34 63 (conf: 0.69)
34 63 => 86 76 (conf: 0.64)
34 76 => 86 63 (conf: 0.69)
63 86 => 34 76 (conf: 0.64)
63 76 => 86 34 (conf: 1.00)
86 76 => 34 63 (conf: 0.69)
34 63 86 => 76 (conf: 0.64)
34 63 76 => 86 (conf: 1.00)
34 86 76 => 63 (conf: 0.69)
63 86 76 => 34 (conf: 1.00)
3 => 90 86 85 (conf: 0.93)
3 90 => 86 85 (conf: 0.99)
3 86 => 90 85 (conf: 0.95)
3 85 => 86 90 (conf: 0.93)
3 90 86 => 85 (conf: 1.00)
3 90 85 => 86 (conf: 0.99)
3 86 85 => 90 (conf: 0.95)
1 => 36 85 34 (conf: 0.97)
34 1 => 36 85 (conf: 0.97)
1 36 => 34 85 (conf: 1.00)
1 85 => 36 34 (conf: 0.97)
34 1 36 => 85 (conf: 1.00)
34 1 85 => 36 (conf: 0.97)
1 36 85 => 34 (conf: 1.00)
93 => 86 59 23 (conf: 0.77)
23 => 86 59 93 (conf: 0.90)
59 86 => 93 23 (conf: 0.61)
59 93 => 86 23 (conf: 0.83)
59 23 => 86 93 (conf: 0.94)
86 93 => 59 23 (conf: 0.81)
86 23 => 59 93 (conf: 0.90)
93 23 => 86 59 (conf: 0.95)
59 86 93 => 23 (conf: 0.88)
59 86 23 => 93 (conf: 0.94)
59 93 23 => 86 (conf: 1.00)
86 93 23 => 59 (conf: 0.95)
1 => 36 86 90 (conf: 0.94)
90 1 => 36 86 (conf: 0.97)
1 36 => 86 90 (conf: 0.97)
1 86 => 36 90 (conf: 0.95)
90 1 36 => 86 (conf: 1.00)
90 1 86 => 36 (conf: 0.97)
1 36 86 => 90 (conf: 0.97)
90 => 86 85 59 (conf: 0.61)
59 => 90 86 85 (conf: 0.88)
90 59 => 86 85 (conf: 0.96)
90 86 => 85 59 (conf: 0.62)
90 85 => 86 59 (conf: 0.61)
59 86 => 90 85 (conf: 0.91)
59 85 => 86 90 (conf: 0.88)
90 59 86 => 85 (conf: 1.00)
90 59 85 => 86 (conf: 0.96)
90 86 85 => 59 (conf: 0.62)
59 86 85 => 90 (conf: 0.91)
59 => 36 86 93 (conf: 0.60)
93 => 36 86 59 (conf: 0.79)
59 36 => 86 93 (conf: 0.71)
59 86 => 36 93 (conf: 0.63)
59 93 => 36 86 (conf: 0.85)
36 93 => 86 59 (conf: 0.90)
86 93 => 36 59 (conf: 0.83)
59 36 86 => 93 (conf: 0.74)
59 36 93 => 86 (conf: 0.94)
59 86 93 => 36 (conf: 0.90)
36 86 93 => 59 (conf: 0.95)
59 => 34 85 63 (conf: 0.77)
63 => 34 85 59 (conf: 0.80)
34 59 => 85 63 (conf: 0.80)
34 63 => 85 59 (conf: 0.84)
59 63 => 34 85 (conf: 0.95)
59 85 => 34 63 (conf: 0.77)
63 85 => 34 59 (conf: 0.80)
34 59 63 => 85 (conf: 1.00)
34 59 85 => 63 (conf: 0.80)
34 63 85 => 59 (conf: 0.84)
59 63 85 => 34 (conf: 0.95)
67 => 36 86 34 (conf: 0.71)
67 34 => 36 86 (conf: 0.71)
67 36 => 86 34 (conf: 1.00)
67 86 => 36 34 (conf: 0.71)
67 34 36 => 86 (conf: 1.00)
67 34 86 => 36 (conf: 0.71)
67 36 86 => 34 (conf: 1.00)
67 => 34 90 76 (conf: 0.69)
76 => 67 90 34 (conf: 0.70)
67 34 => 90 76 (conf: 0.69)
67 90 => 34 76 (conf: 0.77)
67 76 => 34 90 (conf: 0.88)
34 76 => 67 90 (conf: 0.70)
90 76 => 67 34 (conf: 0.79)
67 34 90 => 76 (conf: 0.77)
67 34 76 => 90 (conf: 0.88)
67 90 76 => 34 (conf: 1.00)
34 90 76 => 67 (conf: 0.79)
3 => 34 86 85 (conf: 0.99)
3 34 => 86 85 (conf: 1.00)
3 86 => 34 85 (conf: 1.00)
3 85 => 86 34 (conf: 0.99)
3 34 86 => 85 (conf: 1.00)
3 34 85 => 86 (conf: 1.00)
3 86 85 => 34 (conf: 1.00)
67 => 86 34 63 (conf: 0.69)
63 => 67 86 34 (conf: 0.62)
67 34 => 86 63 (conf: 0.69)
67 63 => 86 34 (conf: 1.00)
67 86 => 34 63 (conf: 0.69)
34 63 => 67 86 (conf: 0.65)
63 86 => 67 34 (conf: 0.65)
67 34 63 => 86 (conf: 1.00)
67 34 86 => 63 (conf: 0.69)
67 63 86 => 34 (conf: 1.00)
34 63 86 => 67 (conf: 0.65)
93 => 34 59 23 (conf: 0.77)
23 => 34 59 93 (conf: 0.90)
34 59 => 93 23 (conf: 0.61)
34 93 => 59 23 (conf: 0.81)
34 23 => 59 93 (conf: 0.90)
59 93 => 34 23 (conf: 0.83)
59 23 => 34 93 (conf: 0.94)
93 23 => 34 59 (conf: 0.95)
34 59 93 => 23 (conf: 0.88)
34 59 23 => 93 (conf: 0.94)
34 93 23 => 59 (conf: 0.95)
59 93 23 => 34 (conf: 1.00)
67 => 36 86 85 (conf: 0.71)
67 36 => 86 85 (conf: 1.00)
67 86 => 36 85 (conf: 0.71)
67 85 => 36 86 (conf: 0.71)
67 36 86 => 85 (conf: 1.00)
67 36 85 => 86 (conf: 1.00)
67 86 85 => 36 (conf: 0.71)
67 => 86 85 76 (conf: 0.79)
76 => 67 86 85 (conf: 0.80)
67 86 => 85 76 (conf: 0.79)
67 85 => 86 76 (conf: 0.79)
67 76 => 86 85 (conf: 1.00)
86 76 => 67 85 (conf: 0.80)
85 76 => 67 86 (conf: 0.80)
67 86 85 => 76 (conf: 0.79)
67 86 76 => 85 (conf: 1.00)
67 85 76 => 86 (conf: 1.00)
86 85 76 => 67 (conf: 0.80)
93 => 86 85 23 (conf: 0.80)
23 => 86 85 93 (conf: 0.94)
86 93 => 85 23 (conf: 0.84)
86 23 => 85 93 (conf: 0.94)
85 93 => 86 23 (conf: 0.80)
85 23 => 86 93 (conf: 0.94)
93 23 => 86 85 (conf: 1.00)
86 85 93 => 23 (conf: 0.84)
86 85 23 => 93 (conf: 0.94)
86 93 23 => 85 (conf: 1.00)
85 93 23 => 86 (conf: 1.00)
90 => 36 86 34 (conf: 0.84)
34 => 36 86 90 (conf: 0.79)
36 => 90 86 34 (conf: 0.92)
86 => 36 90 34 (conf: 0.79)
90 34 => 36 86 (conf: 0.86)
90 36 => 86 34 (conf: 0.97)
90 86 => 36 34 (conf: 0.86)
34 36 => 86 90 (conf: 0.95)
34 86 => 36 90 (conf: 0.79)
36 86 => 90 34 (conf: 0.95)
90 34 36 => 86 (conf: 1.00)
90 34 86 => 36 (conf: 0.86)
90 36 86 => 34 (conf: 1.00)
34 36 86 => 90 (conf: 0.95)
93 => 34 86 85 (conf: 0.95)
34 93 => 86 85 (conf: 1.00)
86 93 => 34 85 (conf: 1.00)
85 93 => 86 34 (conf: 0.95)
34 86 93 => 85 (conf: 1.00)
34 85 93 => 86 (conf: 1.00)
86 85 93 => 34 (conf: 1.00)
63 => 90 85 93 (conf: 0.65)
93 => 90 85 63 (conf: 0.81)
90 63 => 85 93 (conf: 0.72)
90 93 => 85 63 (conf: 0.91)
63 85 => 90 93 (conf: 0.65)
63 93 => 90 85 (conf: 0.93)
85 93 => 90 63 (conf: 0.81)
90 63 85 => 93 (conf: 0.72)
90 63 93 => 85 (conf: 1.00)
90 85 93 => 63 (conf: 0.91)
63 85 93 => 90 (conf: 0.93)
23 => 34 85 90 (conf: 0.91)
34 23 => 85 90 (conf: 0.91)
90 23 => 34 85 (conf: 1.00)
85 23 => 34 90 (conf: 0.91)
34 90 23 => 85 (conf: 1.00)
34 85 23 => 90 (conf: 0.91)
90 85 23 => 34 (conf: 1.00)
63 => 86 85 23 (conf: 0.62)
23 => 86 85 63 (conf: 0.90)
63 86 => 85 23 (conf: 0.64)
63 85 => 86 23 (conf: 0.62)
63 23 => 86 85 (conf: 1.00)
86 23 => 85 63 (conf: 0.90)
85 23 => 86 63 (conf: 0.90)
63 86 85 => 23 (conf: 0.64)
63 86 23 => 85 (conf: 1.00)
63 85 23 => 86 (conf: 1.00)
86 85 23 => 63 (conf: 0.90)
93 => 36 34 23 (conf: 0.78)
23 => 36 34 93 (conf: 0.91)
34 93 => 36 23 (conf: 0.82)
34 23 => 36 93 (conf: 0.91)
36 93 => 34 23 (conf: 0.89)
36 23 => 34 93 (conf: 0.94)
93 23 => 36 34 (conf: 0.97)
34 36 93 => 23 (conf: 0.94)
34 36 23 => 93 (conf: 0.94)
34 93 23 => 36 (conf: 0.97)
36 93 23 => 34 (conf: 1.00)
76 => 36 85 34 (conf: 0.71)
34 76 => 36 85 (conf: 0.71)
36 76 => 34 85 (conf: 1.00)
85 76 => 36 34 (conf: 0.71)
34 36 76 => 85 (conf: 1.00)
34 85 76 => 36 (conf: 0.71)
36 85 76 => 34 (conf: 1.00)
63 => 86 85 76 (conf: 0.62)
76 => 86 85 63 (conf: 0.69)
63 86 => 85 76 (conf: 0.64)
63 85 => 86 76 (conf: 0.62)
63 76 => 86 85 (conf: 1.00)
86 76 => 85 63 (conf: 0.69)
85 76 => 86 63 (conf: 0.69)
63 86 85 => 76 (conf: 0.64)
63 86 76 => 85 (conf: 1.00)
63 85 76 => 86 (conf: 1.00)
86 85 76 => 63 (conf: 0.69)
76 => 34 85 90 (conf: 0.89)
34 76 => 85 90 (conf: 0.89)
90 76 => 34 85 (conf: 1.00)
85 76 => 34 90 (conf: 0.89)
34 90 76 => 85 (conf: 1.00)
34 85 76 => 90 (conf: 0.89)
90 85 76 => 34 (conf: 1.00)
93 => 36 85 34 (conf: 0.83)
34 93 => 36 85 (conf: 0.87)
36 93 => 34 85 (conf: 0.94)
85 93 => 36 34 (conf: 0.83)
34 36 93 => 85 (conf: 1.00)
34 85 93 => 36 (conf: 0.87)
36 85 93 => 34 (conf: 0.94)
59 => 86 85 63 (conf: 0.77)
63 => 86 85 59 (conf: 0.80)
59 63 => 86 85 (conf: 0.95)
59 86 => 85 63 (conf: 0.80)
59 85 => 86 63 (conf: 0.77)
63 86 => 85 59 (conf: 0.84)
63 85 => 86 59 (conf: 0.80)
59 63 86 => 85 (conf: 1.00)
59 63 85 => 86 (conf: 0.95)
59 86 85 => 63 (conf: 0.80)
63 86 85 => 59 (conf: 0.84)
59 => 36 34 93 (conf: 0.60)
93 => 36 34 59 (conf: 0.79)
34 59 => 36 93 (conf: 0.63)
34 93 => 36 59 (conf: 0.83)
59 36 => 34 93 (conf: 0.71)
59 93 => 36 34 (conf: 0.85)
36 93 => 34 59 (conf: 0.90)
34 59 36 => 93 (conf: 0.74)
34 59 93 => 36 (conf: 0.90)
34 36 93 => 59 (conf: 0.95)
59 36 93 => 34 (conf: 0.94)
90 => 85 34 59 (conf: 0.61)
59 => 90 85 34 (conf: 0.88)
90 59 => 85 34 (conf: 0.96)
90 34 => 85 59 (conf: 0.62)
90 85 => 34 59 (conf: 0.61)
59 34 => 90 85 (conf: 0.91)
59 85 => 90 34 (conf: 0.88)
90 59 34 => 85 (conf: 1.00)
90 59 85 => 34 (conf: 0.96)
90 34 85 => 59 (conf: 0.62)
59 34 85 => 90 (conf: 0.91)
59 => 86 90 93 (conf: 0.62)
93 => 86 90 59 (conf: 0.81)
90 59 => 86 93 (conf: 0.68)
90 93 => 86 59 (conf: 0.91)
59 86 => 90 93 (conf: 0.65)
59 93 => 86 90 (conf: 0.88)
86 93 => 90 59 (conf: 0.85)
90 59 86 => 93 (conf: 0.71)
90 59 93 => 86 (conf: 0.94)
90 86 93 => 59 (conf: 0.96)
59 86 93 => 90 (conf: 0.93)
59 => 36 86 85 (conf: 0.82)
36 => 86 85 59 (conf: 0.62)
59 36 => 86 85 (conf: 0.96)
59 86 => 36 85 (conf: 0.85)
59 85 => 36 86 (conf: 0.82)
36 86 => 85 59 (conf: 0.64)
36 85 => 86 59 (conf: 0.62)
59 36 86 => 85 (conf: 1.00)
59 36 85 => 86 (conf: 0.96)
59 86 85 => 36 (conf: 0.85)
36 86 85 => 59 (conf: 0.64)
59 => 34 93 63 (conf: 0.61)
63 => 34 93 59 (conf: 0.64)
93 => 34 59 63 (conf: 0.79)
34 59 => 93 63 (conf: 0.63)
34 63 => 93 59 (conf: 0.66)
34 93 => 59 63 (conf: 0.83)
59 63 => 34 93 (conf: 0.75)
59 93 => 34 63 (conf: 0.86)
63 93 => 34 59 (conf: 0.90)
34 59 63 => 93 (conf: 0.79)
34 59 93 => 63 (conf: 0.90)
34 63 93 => 59 (conf: 0.96)
59 63 93 => 34 (conf: 0.94)
67 => 34 85 59 (conf: 0.74)
59 => 67 85 34 (conf: 0.64)
67 34 => 85 59 (conf: 0.74)
67 59 => 34 85 (conf: 1.00)
67 85 => 34 59 (conf: 0.74)
34 59 => 67 85 (conf: 0.66)
59 85 => 67 34 (conf: 0.64)
67 34 59 => 85 (conf: 1.00)
67 34 85 => 59 (conf: 0.74)
67 59 85 => 34 (conf: 1.00)
34 59 85 => 67 (conf: 0.66)
67 => 90 85 76 (conf: 0.69)
76 => 67 90 85 (conf: 0.70)
67 90 => 85 76 (conf: 0.77)
67 85 => 90 76 (conf: 0.69)
67 76 => 90 85 (conf: 0.88)
90 76 => 67 85 (conf: 0.79)
85 76 => 67 90 (conf: 0.70)
67 90 85 => 76 (conf: 0.77)
67 90 76 => 85 (conf: 1.00)
67 85 76 => 90 (conf: 0.88)
90 85 76 => 67 (conf: 0.79)
67 => 34 85 36 (conf: 0.71)
67 34 => 36 85 (conf: 0.71)
67 36 => 34 85 (conf: 1.00)
67 85 => 36 34 (conf: 0.71)
67 34 36 => 85 (conf: 1.00)
67 34 85 => 36 (conf: 0.71)
67 36 85 => 34 (conf: 1.00)
59 => 36 85 93 (conf: 0.64)
93 => 36 85 59 (conf: 0.84)
59 36 => 85 93 (conf: 0.75)
59 85 => 36 93 (conf: 0.64)
59 93 => 36 85 (conf: 0.91)
36 93 => 85 59 (conf: 0.95)
85 93 => 36 59 (conf: 0.84)
59 36 85 => 93 (conf: 0.75)
59 36 93 => 85 (conf: 1.00)
59 85 93 => 36 (conf: 0.91)
36 85 93 => 59 (conf: 0.95)
59 => 86 34 63 (conf: 0.77)
63 => 86 34 59 (conf: 0.80)
34 59 => 86 63 (conf: 0.80)
34 63 => 86 59 (conf: 0.84)
59 63 => 86 34 (conf: 0.95)
59 86 => 34 63 (conf: 0.80)
63 86 => 34 59 (conf: 0.84)
34 59 63 => 86 (conf: 1.00)
34 59 86 => 63 (conf: 0.80)
34 63 86 => 59 (conf: 0.84)
59 63 86 => 34 (conf: 1.00)
59 => 36 34 23 (conf: 0.60)
23 => 36 34 59 (conf: 0.93)
34 59 => 36 23 (conf: 0.63)
34 23 => 36 59 (conf: 0.93)
59 36 => 34 23 (conf: 0.71)
59 23 => 36 34 (conf: 0.97)
36 23 => 34 59 (conf: 0.96)
34 59 36 => 23 (conf: 0.74)
34 59 23 => 36 (conf: 0.97)
34 36 23 => 59 (conf: 0.96)
59 36 23 => 34 (conf: 1.00)
93 => 34 85 23 (conf: 0.80)
23 => 34 85 93 (conf: 0.94)
34 93 => 85 23 (conf: 0.84)
34 23 => 85 93 (conf: 0.94)
85 93 => 34 23 (conf: 0.80)
85 23 => 34 93 (conf: 0.94)
93 23 => 34 85 (conf: 1.00)
34 85 93 => 23 (conf: 0.84)
34 85 23 => 93 (conf: 0.94)
34 93 23 => 85 (conf: 1.00)
85 93 23 => 34 (conf: 1.00)
34 => 86 85 59 (conf: 0.63)
59 => 34 86 85 (conf: 0.96)
86 => 34 85 59 (conf: 0.63)
85 => 86 34 59 (conf: 0.61)
34 59 => 86 85 (conf: 1.00)
34 86 => 85 59 (conf: 0.63)
34 85 => 86 59 (conf: 0.63)
59 86 => 34 85 (conf: 1.00)
59 85 => 86 34 (conf: 0.96)
86 85 => 34 59 (conf: 0.63)
34 59 86 => 85 (conf: 1.00)
34 59 85 => 86 (conf: 1.00)
34 86 85 => 59 (conf: 0.63)
59 86 85 => 34 (conf: 1.00)
59 => 90 85 63 (conf: 0.73)
63 => 90 85 59 (conf: 0.77)
90 59 => 85 63 (conf: 0.80)
90 63 => 85 59 (conf: 0.84)
59 63 => 90 85 (conf: 0.91)
59 85 => 90 63 (conf: 0.73)
63 85 => 90 59 (conf: 0.77)
90 59 63 => 85 (conf: 1.00)
90 59 85 => 63 (conf: 0.80)
90 63 85 => 59 (conf: 0.84)
59 63 85 => 90 (conf: 0.91)
63 => 36 93 59 (conf: 0.62)
93 => 36 59 63 (conf: 0.77)
59 63 => 36 93 (conf: 0.74)
59 36 => 93 63 (conf: 0.69)
59 93 => 36 63 (conf: 0.83)
63 36 => 93 59 (conf: 0.73)
63 93 => 36 59 (conf: 0.88)
36 93 => 59 63 (conf: 0.88)
59 63 36 => 93 (conf: 0.83)
59 63 93 => 36 (conf: 0.92)
59 36 93 => 63 (conf: 0.92)
63 36 93 => 59 (conf: 0.98)
23 => 36 86 85 (conf: 0.97)
36 23 => 86 85 (conf: 1.00)
86 23 => 36 85 (conf: 0.97)
85 23 => 36 86 (conf: 0.97)
36 86 23 => 85 (conf: 1.00)
36 85 23 => 86 (conf: 1.00)
86 85 23 => 36 (conf: 0.97)
93 => 86 90 23 (conf: 0.78)
23 => 86 90 93 (conf: 0.91)
90 93 => 86 23 (conf: 0.87)
90 23 => 86 93 (conf: 1.00)
86 93 => 90 23 (conf: 0.82)
86 23 => 90 93 (conf: 0.91)
93 23 => 86 90 (conf: 0.97)
90 86 93 => 23 (conf: 0.91)
90 86 23 => 93 (conf: 1.00)
90 93 23 => 86 (conf: 1.00)
86 93 23 => 90 (conf: 0.97)
63 => 36 90 85 (conf: 0.79)
90 63 => 36 85 (conf: 0.86)
90 36 => 85 63 (conf: 0.60)
63 36 => 90 85 (conf: 0.93)
63 85 => 36 90 (conf: 0.79)
90 63 36 => 85 (conf: 1.00)
90 63 85 => 36 (conf: 0.86)
90 36 85 => 63 (conf: 0.60)
63 36 85 => 90 (conf: 0.93)
34 => 36 86 85 (conf: 0.83)
36 => 34 86 85 (conf: 0.97)
86 => 36 85 34 (conf: 0.83)
85 => 36 86 34 (conf: 0.81)
34 36 => 86 85 (conf: 1.00)
34 86 => 36 85 (conf: 0.84)
34 85 => 36 86 (conf: 0.83)
36 86 => 34 85 (conf: 1.00)
36 85 => 86 34 (conf: 0.97)
86 85 => 36 34 (conf: 0.83)
34 36 86 => 85 (conf: 1.00)
34 36 85 => 86 (conf: 1.00)
34 86 85 => 36 (conf: 0.84)
36 86 85 => 34 (conf: 1.00)
93 => 34 86 90 (conf: 0.85)
34 93 => 86 90 (conf: 0.89)
90 93 => 86 34 (conf: 0.95)
86 93 => 34 90 (conf: 0.89)
34 90 93 => 86 (conf: 1.00)
34 86 93 => 90 (conf: 0.89)
90 86 93 => 34 (conf: 1.00)
67 => 86 85 63 (conf: 0.69)
63 => 67 86 85 (conf: 0.62)
67 63 => 86 85 (conf: 1.00)
67 86 => 85 63 (conf: 0.69)
67 85 => 86 63 (conf: 0.69)
63 86 => 67 85 (conf: 0.65)
63 85 => 67 86 (conf: 0.62)
67 63 86 => 85 (conf: 1.00)
67 63 85 => 86 (conf: 1.00)
67 86 85 => 63 (conf: 0.69)
63 86 85 => 67 (conf: 0.65)
67 => 34 90 85 (conf: 0.89)
67 90 => 34 85 (conf: 1.00)
67 34 => 90 85 (conf: 0.89)
67 85 => 34 90 (conf: 0.89)
67 90 34 => 85 (conf: 1.00)
67 90 85 => 34 (conf: 1.00)
67 34 85 => 90 (conf: 0.89)
1 => 90 85 34 (conf: 0.97)
90 1 => 85 34 (conf: 1.00)
34 1 => 90 85 (conf: 0.98)
1 85 => 90 34 (conf: 0.97)
90 34 1 => 85 (conf: 1.00)
90 1 85 => 34 (conf: 1.00)
34 1 85 => 90 (conf: 0.98)
90 => 36 86 85 (conf: 0.84)
36 => 90 86 85 (conf: 0.92)
86 => 36 90 85 (conf: 0.79)
85 => 36 86 90 (conf: 0.77)
90 36 => 86 85 (conf: 0.97)
90 86 => 36 85 (conf: 0.86)
90 85 => 36 86 (conf: 0.84)
36 86 => 90 85 (conf: 0.95)
36 85 => 86 90 (conf: 0.92)
86 85 => 36 90 (conf: 0.79)
90 36 86 => 85 (conf: 1.00)
90 36 85 => 86 (conf: 0.97)
90 86 85 => 36 (conf: 0.86)
36 86 85 => 90 (conf: 0.95)
63 => 36 85 34 (conf: 0.81)
34 63 => 36 85 (conf: 0.84)
34 36 => 85 63 (conf: 0.60)
63 36 => 34 85 (conf: 0.95)
63 85 => 36 34 (conf: 0.81)
34 63 36 => 85 (conf: 1.00)
34 63 85 => 36 (conf: 0.84)
34 36 85 => 63 (conf: 0.60)
63 36 85 => 34 (conf: 0.95)
63 => 90 34 93 (conf: 0.61)
93 => 90 34 63 (conf: 0.76)
90 63 => 34 93 (conf: 0.67)
90 93 => 34 63 (conf: 0.85)
34 63 => 90 93 (conf: 0.64)
34 93 => 90 63 (conf: 0.80)
63 93 => 90 34 (conf: 0.87)
90 34 63 => 93 (conf: 0.70)
90 34 93 => 63 (conf: 0.90)
90 63 93 => 34 (conf: 0.94)
34 63 93 => 90 (conf: 0.92)
63 => 34 86 85 (conf: 0.96)
34 63 => 86 85 (conf: 1.00)
